situation_id,trajectory_id,distance,wind,precipitation,fuel,time,score
1,0,1381.36,2.6486666666666663,0.058,1381.36,100.93,1482.29
1,1,1460.68,3.804615384615384,0.00923076923076923,1460.68,105.54,1566.22
1,2,1453.77,2.886923076923077,0.0,1453.77,105.97,1559.74
2,0,706.02,3.8873333333333333,0.0,706.02,50.97,756.99
2,1,895.88,3.740769230769231,0.025384615384615387,895.88,64.77,960.65
2,2,908.62,3.566923076923077,0.05461538461538462,908.62,65.8,974.42
3,0,428.55,3.462,0.043333333333333335,428.55,31.07,459.62
3,1,726.04,4.093076923076923,0.05,726.04,52.31,778.3499999999999
3,2,731.92,3.4453846153846155,0.06384615384615386,731.92,53.07,784.99
4,0,612.19,3.791333333333333,0.0,612.19,44.24,656.4300000000001
4,1,750.17,4.3246153846153845,0.0,750.17,53.93,804.0999999999999
4,2,749.17,3.4515384615384614,0.0,749.17,54.31,803.48
5,0,752.08,2.674,0.06199999999999999,752.08,54.94,807.02
5,1,948.56,3.123076923076923,0.019230769230769232,948.56,68.99,1017.55
5,2,963.46,2.8530769230769226,0.0,963.46,70.26,1033.72
6,0,414.83,4.634666666666666,0.0,414.83,29.73,444.56
6,1,635.78,5.086923076923076,0.0,635.78,45.38,681.16
6,2,636.2,4.619230769230769,0.0,636.2,45.61,681.8100000000001
7,0,621.04,3.3486666666666665,0.06533333333333333,621.04,45.07,666.11
7,1,817.82,3.956153846153846,0.057692307692307696,817.82,59.0,876.82
7,2,820.9,2.9738461538461536,0.08615384615384616,820.9,59.79,880.6899999999999
8,0,507.44,3.5046666666666666,0.0,507.44,36.77,544.21
8,1,737.77,3.1469230769230765,0.0,737.77,53.64,791.41
8,2,749.92,3.652307692307692,0.0,749.92,54.26,804.18
9,0,538.27,3.4979999999999998,0.0,538.27,39.01,577.28
9,1,620.47,4.086923076923076,0.0,620.47,44.71,665.1800000000001
9,2,619.76,3.6353846153846154,0.0,619.76,44.85,664.61
10,0,218.81,4.924,0.0,218.81,15.64,234.45
10,1,596.05,3.9553846153846157,0.0,596.05,43.0,639.05
10,2,607.35,5.0430769230769235,0.0,607.35,43.36,650.71
11,0,1488.89,4.426666666666667,0.0,1488.89,106.93,1595.8200000000002
